Country,Military allocation
United States,64.61688619
Germany,20.0141112
United Kingdom,14.89716607
Denmark,9.949753771
Sweden,9.149259441
Netherlands,8.606606989
France,6.231602507
Norway,6.190492271
Canada,4.980972887
Poland,4.451809618
Finland,3.1688
Italy,3
Belgium,2.720985017
Spain,1.441722288
Lithuania,1.163947451
Australia,0.911714715
Estonia,0.882524607
Slovakia,0.696464232
Latvia,0.582709596
Czechia,0.572234576
Romania,0.414329539
Portugal,0.382136351
Croatia,0.255825719
Bulgaria,0.236235983
Luxembourg,0.212640276
Ireland,0.208862078
Greece,0.168545543
Slovenia,0.11561865
Turkey,0.066243207
Japan,0.063119323
Iceland,0.05694781
New Zealand,0.035861822
South Korea,0.014506338
Austria,0.003255639
