Country,Percent of GDP
Denmark,3.849656874
Estonia,3.636723225
Lithuania,3.059312454
Latvia,2.510428927
Sweden,2.443575313
Finland,2.061375217
Netherlands,1.68897212
Poland,1.606612379
Slovakia,1.328681599
Belgium,1.279437132
Germany,1.232929588
Croatia,1.200902423
France,0.964959516
Bulgaria,0.888467175
Italy,0.877743821
Slovenia,0.853227078
Czechia,0.837618833
Luxembourg,0.833291978
Spain,0.817775831
Austria,0.813768713
Portugal,0.810830794
Romania,0.796104127
Greece,0.718484107
United Kingdom,0.7086
Cyprus,0.635329089
Hungary,0.609946071
United States,0.598297
Malta,0.551242705
Ireland,0.484634529
